tradeoff,DiVE-dSwap-Adaptive(0.80),DiVE-dSwap-Adaptive(0.97),DiVE-dSwap-Adaptive(Hypothetical),,,,,,,,,,,
0,0,0,0,,,,,,,,,,,
0.1,0.10472444,0,0,,,,,0.303135,,,0.345471292,,,
0.2,0.073918806,0,0,,,,,0.297181,,,0.248733284,,,
0.3,0.060400405,0,0,,,,,0.291226,,,0.207400455,,,
0.4,0.029109987,0,0,,,,,0.285272,,,0.102042917,,,
0.5,0,0,0,,,,,,,,,,,
0.6,0,0,0,,,,,,,,,,,
0.7,0,0,0,,,,,,,,,,,
0.8,0,0,0,,,,,,,,,,,
0.9,0,0,0,,,,,,,,,,,
1,0,0,0,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,0.0303135,0.303135,,,
,,,,,,,,,,,,,,0.15
