alpha,SBID-Greedy,SBID-SwapD,SBID-Greedy-Static-Pruning,SBID-SwapD-Static-Pruning,SBID-Greedy-Adaptive-Pruning,SBID-SwapD-Adaptive-Pruning
0,0.258344222,0.2706615,0.255844222,0.2706615,0.258344222,0.2706615
0.1,0.258344222,0.2706615,0.255844222,0.2706615,0.258344222,0.2706615
0.2,0.258344222,0.2706615,0.255844222,0.2706615,0.258344222,0.2706615
0.3,0.258344222,0.2706615,0.255844222,0.2706615,0.258344222,0.2706615
0.4,0.258344222,0.2706615,0.255844222,0.2706615,0.258344222,0.2706615
0.5,0.258344222,0.2706615,0.255844222,0.2706615,0.258344222,0.2706615
0.6,0.258344222,0.2706615,0.255844222,0.2706615,0.25764654,0.2706615
0.7,0.258344222,0.2706615,0.255844222,0.2706615,0.2541231,0.269
0.8,0.258344222,0.2706615,0.255844222,0.2706615,0.24989889,0.265364535
0.9,0.258344222,0.2706615,0.255844222,0.2706615,0.243645,0.25722
1,0.258344222,0.2706615,0.255844222,0.2706615,0.24063535,0.24851
