tradeoff,i-DiVE-SwapD-Adaptive-Pruning PI-80,i-DiVE-SwapD-Adaptive-Pruning PI-85,i-DiVE-SwapD-Adaptive-Pruning PI-90,i-DiVE-SwapD-Adaptive-Pruning PI-95,i-DiVE-SwapD-Adaptive-Pruning PI-97,i-DiVE-SwapD-Adaptive-Pruning Hypothetical,,,,,,,,,,,,,
0,0,0,0,0,0,0,,,,,,,,,,,,,
0.1,0.017675591,0.012069991,0,0,0,0,,,,,,,,,,,,,
0.2,0.012935791,0.010043391,0,0,0,0,,,,,,,,,,,,,
0.3,0.012080081,0.006179041,0,0,0,0,,,,,,,,,,,,,
0.4,0.006549747,0.003621211,0,0,0,0,,,,,,,,,,,,,
0.5,0,0,0,0,0,0,,,,,,,,,,,,,
0.6,0,0,0,0,0,0,,,,,,,,,,,,,
0.7,0,0,0,0,0,0,,,,,,,,,,,,,
0.8,0,0,0,0,0,0,,,,,,,,,,,,,
0.9,0,0,0,0,0,0,,,,,,,,,,,,,
1,0,0,0,0,0,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,0.16,,0.142324409,0.147930009,,0.889527556,0.924562556,,,,,,,0.303135,,,0.017675591,,0.058309304
,0.175,,0.162064209,0.164956609,,0.926081194,0.942609194,,,,,,,0.297181,,,0.012935791,,0.043528324
,0.2,,0.187919919,0.193820959,,0.939599595,0.969104795,,,,,,,0.291226,,,0.012080081,,0.041480091
,0.225,,0.218450253,0.221378789,,0.970890013,0.983905729,,,,,,,0.285272,,,0.006549747,,0.022959656
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.00303135,,,,,
,,,,,,,,,,0.00303135,,,,,,,,,
