tradeoff,SBID-Greedy,SBID-SwapD,SBID-Greedy-Static-Pruning,SBID-SwapD-Static-Pruning,SBID-Greedy-Adaptive-Pruning,SBID-SwapD-Adaptive-Pruning
0,1.568793678,1.874177742,1.568793678,1.874177742,1.568793678,1.874177742
0.1,1.568793678,1.874177742,1.568793678,1.874177742,1.568793678,1.874177742
0.2,1.568793678,1.874177742,1.568793678,1.874177742,1.568793678,1.874177742
0.3,1.568793678,1.874177742,1.568793678,1.874177742,1.568793678,1.8032541
0.4,1.568793678,1.874177742,1.568793678,1.874177742,1.568793678,1.69895656
0.5,1.568793678,1.874177742,1.568793678,1.874177742,1.568793678,1.595421
0.6,1.568793678,1.874177742,1.568793678,1.874177742,1.568793678,1.395356542
0.7,1.568793678,1.874177742,1.568793678,1.874177742,1.568793678,1.264236335
0.8,1.568793678,1.874177742,1.568793678,1.874177742,1.463235,1.036565652
0.9,1.568793678,1.874177742,1.36544,1.5,0.75369,0.63231152
1,1.568793678,1.874177742,0.6351,0.532,0.43621,0.30021
