Greedy-Pruning,0.0,0.4894769994676952,0.425,0.9144769994676951,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['cp', 'oldpeak', 'sum'], ['num', 'thalach', 'sum']]
Greedy-Pruning,0.1,0.4875595440980754,0.475,0.9625595440980754,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['cp', 'oldpeak', 'sum'], ['num', 'restbp', 'sum']]
Greedy-Pruning,0.2,0.4875595440980754,0.475,0.9625595440980754,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['cp', 'oldpeak', 'sum'], ['num', 'restbp', 'sum']]
Greedy-Pruning,0.3,0.4875595440980754,0.475,0.9625595440980754,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['cp', 'oldpeak', 'sum'], ['num', 'restbp', 'sum']]
Greedy-Pruning,0.4,0.4875595440980754,0.475,0.9625595440980754,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['cp', 'oldpeak', 'sum']]
Greedy-Pruning,0.5,0.4875595440980754,0.475,0.9625595440980754,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['cp', 'oldpeak', 'sum']]
Greedy-Pruning,0.6,0.4875595440980754,0.475,0.9625595440980754,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['cp', 'oldpeak', 'sum']]
Greedy-Pruning,0.7,0.4875595440980754,0.475,0.9625595440980754,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['cp', 'oldpeak', 'sum']]
Greedy-Pruning,0.8,0.4257253869422995,0.5,0.9257253869422994,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,0.82,0.4257253869422995,0.5,0.9257253869422994,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,0.84,0.4257253869422995,0.5,0.9257253869422994,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,0.86,0.4257253869422995,0.5,0.9257253869422994,0,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,0.88,0.4257253869422995,0.5,0.9257253869422994,2,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,0.9,0.4257253869422995,0.5,0.9257253869422994,5,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,0.92,0.4257253869422995,0.5,0.9257253869422994,17,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,0.94,0.4257253869422995,0.5,0.9257253869422994,55,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,0.96,0.4257253869422995,0.5,0.9257253869422994,73,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,0.98,0.4257253869422995,0.5,0.9257253869422994,128,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'age', 'variance'], ['num', 'restbp', 'sum'], ['num', 'chol', 'max']]
Greedy-Pruning,1.0,0.2597500626443784,0.5,0.7597500626443784,140,[['exang', 'age', 'sum'], ['fbs', 'chol', 'variance'], ['restecg', 'oldpeak', 'avg'], ['num', 'oldpeak', 'avg'], ['slope', 'oldpeak', 'variance']]
